id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y
232,000000538151_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053815,3.0,,000000538151,Kamerunweg (Kehre),hamburger_verkehrsverbund_(hvv),,9.985991657264,53.530907911152
233,000000110094_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011042,3.0,,000000110094,Marco-Polo-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993846064994,53.540439272564
234,000000110095_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011042,3.0,,000000110095,Marco-Polo-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993591571965,53.540522257513
235,000000530010_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053022,3.0,,000000530010,Brandenburger Straße,hamburger_verkehrsverbund_(hvv),,9.980917885009001,53.526061600458
236,000000530016_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053010,3.0,,000000530016,Ernst-August-Deich,hamburger_verkehrsverbund_(hvv),,9.981516858612,53.520665423263
237,000000530058_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053011,3.0,,000000530058,Ernst-August-Schleuse (Fähre),hamburger_verkehrsverbund_(hvv),,9.982888934744999,53.524571792322
238,000000800109_hamburger_verkehrsverbund_(hvv),0.0,transit,000000080020,3.0,,000000800109,U S Landungsbrücken,hamburger_verkehrsverbund_(hvv),,9.968450914498,53.546039007931
239,000000110095_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011042,3.0,,000000110095_G,Marco-Polo-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993722675029,53.54032348827
240,000000110623_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011062,3.0,,000000110623,Singapurstraße,hamburger_verkehrsverbund_(hvv),,9.995969543344001,53.543503591145
241,000000110623_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011062,3.0,,000000110623_G,Singapurstraße,hamburger_verkehrsverbund_(hvv),,9.996679608962,53.544189548155
242,000000100029_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010060,3.0,,000000100029,S Hammerbrook (Nord),hamburger_verkehrsverbund_(hvv),,10.022820657916,53.547823427965
243,000000100172_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010039,3.0,,000000100172,Süderstraße,hamburger_verkehrsverbund_(hvv),,10.029785901921999,53.545130882848994
244,000000100173_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010039,3.0,,000000100173,Süderstraße,hamburger_verkehrsverbund_(hvv),,10.031212018442,53.545460032669
245,000000100206_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010038,3.0,,000000100206,S Hammerbrook (Süd),hamburger_verkehrsverbund_(hvv),,10.024884966431,53.545217939188994
246,000000100207_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010038,3.0,,000000100207,S Hammerbrook (Süd),hamburger_verkehrsverbund_(hvv),,10.025021583828,53.545252709263
247,000000110014_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011026,3.0,,000000110014_G,Magellan-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993551813536,53.54268807270601
248,000000110094_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011042,3.0,,000000110094_G,Marco-Polo-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993878123367999,53.540519874685
249,000000110187_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011046,3.0,,000000110187_G,Bei St.Annen,hamburger_verkehrsverbund_(hvv),,9.997268318894,53.545487521655
250,000000110622_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011062,3.0,,000000110622_G,Singapurstraße,hamburger_verkehrsverbund_(hvv),,9.995941066178,53.543575711769
251,000000110611_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011061,3.0,,000000110611,U Rödingsmarkt (Großer Burstah),hamburger_verkehrsverbund_(hvv),,9.990937449265,53.548945650626
252,000000110085_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011061,3.0,,000000110085,U Rödingsmarkt (Großer Burstah),hamburger_verkehrsverbund_(hvv),,9.990663405909,53.548840097704
253,000000110541_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011054,3.0,,000000110541,Koreastraße,hamburger_verkehrsverbund_(hvv),,10.002437890208,53.542721690351
254,000000110541_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011054,3.0,,000000110541_G,Koreastraße,hamburger_verkehrsverbund_(hvv),,10.002316377746,53.543324732582995
255,000000110542_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011054,3.0,,000000110542_G,Koreastraße,hamburger_verkehrsverbund_(hvv),,10.002322328052,53.542938309693
