education,food,groceries,nightlife,x,y
0,0,1,0,9.9875821,53.5724035
0,0,1,0,9.9820495,53.5842161
0,1,0,0,9.9823162,53.5852373
0,0,0,1,9.9694954,53.5763167
0,0,1,0,9.9540439,53.5758456
0,1,0,0,9.948679,53.5795186
0,1,0,0,9.9967808,53.5843616
0,1,0,0,9.9358863,53.5444951
0,1,0,0,9.9789345,53.5435215
0,1,0,1,9.990525,53.5577591
0,1,0,0,10.0939532,53.5817041
0,1,0,0,9.9818536,53.567628
0,1,0,0,9.992861,53.5411869
0,1,0,0,9.992955,53.5411613
0,1,0,0,9.9916841,53.5415387
0,0,1,0,9.9816331,53.5445712
0,1,0,0,9.8755743,53.5886409
0,1,0,0,10.0179007,53.5685948
0,0,1,0,9.9816006,53.5502468
0,0,1,0,9.980364,53.5513995
0,1,0,0,9.947271,53.580358
0,1,0,0,9.9503409,53.5741894
0,1,0,0,9.7461077,53.5962378
0,1,0,0,10.0432665,53.6468244
0,1,0,0,9.982533,53.4645122
1,0,0,0,10.2211547,53.5402911
0,1,0,0,10.0308402,53.5479824
1,0,0,0,10.0601804,53.549308
0,1,0,0,9.9807444,53.4636244
0,1,0,0,9.9814646,53.4634512
0,1,0,0,9.9816832,53.4633969
0,1,0,1,9.9813117,53.4634855
0,1,0,0,9.9806773,53.4635276
0,1,0,1,9.9805502,53.4635704
0,0,1,0,9.9056506,53.6644635
0,0,1,0,9.9041715,53.6647777
0,1,0,0,9.9976168,53.5455304
0,1,0,0,9.8986984,53.6620568
0,1,0,0,9.9040216,53.6661729
0,1,0,1,9.9099903,53.6642239
0,1,0,0,9.8428743,53.5502923
0,1,0,0,9.9537841,53.546044
0,1,0,0,9.9672483,53.464057
0,1,0,0,9.978589,53.4599698
0,1,0,0,9.9798036,53.4602157
0,1,0,0,9.9859337,53.4650249
0,1,0,0,9.9868724,53.4664014
0,1,0,0,9.9807446,53.4619433
0,1,0,0,9.9825916,53.4640686
0,1,0,0,9.9753311,53.5829187
0,1,0,0,10.1683713,53.5252965
0,1,0,0,10.1649774,53.522741
0,1,0,0,10.1737023,53.5197144
0,1,0,0,9.9187585,53.5629788
0,1,0,1,9.9297722,53.5926147
0,0,1,0,10.1659604,53.5416339
0,1,0,0,9.9793485,53.4601374
0,1,0,0,9.9822897,53.4528603
0,0,1,0,9.9772139,53.5457799
0,0,1,0,10.0189413,53.4190141
0,1,0,0,10.0116622,53.5578894
