,,access,area,bridge,distance,est_width,from,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel,width,weight,net_type,from_int,to_int
19475518,993274098,,,,12.172271,,19475518,residential,,,40,Jämeräntaival,,,,993274098,,,0.146067252,walk,17,3094
19475518,5754264236,,,,37.332167,,19475518,residential,,,40,Jämeräntaival,,,,5754264236,,,0.447986004,walk,17,6296
5754264236,19475518,,,,37.332167,,5754264236,residential,,,40,Jämeräntaival,,,,19475518,,,0.447986004,walk,6296,17
5754264236,991658900,,,,62.305976,,5754264236,residential,,,40,Jämeräntaival,,,,991658900,,,0.747671712,walk,6296,3056
991658900,5754264236,,,,62.305976,,991658900,residential,,,40,Jämeräntaival,,,,5754264236,,,0.747671712,walk,3056,6296
25090266,1433646678,,,,37.238365,,25090266,tertiary,,2,40,Vuorimiehentie,,,,1433646678,,,0.44686038000000006,walk,127,3272
1433646678,25090266,,,,37.238365,,1433646678,tertiary,,2,40,Vuorimiehentie,,,,25090266,,,0.44686038000000006,walk,3272,127
1433646678,3207402313,,,,9.192163,,1433646678,tertiary,,2,40,Vuorimiehentie,,,,3207402313,,,0.11030595600000001,walk,3272,4285
3207402313,1433646678,,,,9.192163,,3207402313,tertiary,,2,40,Vuorimiehentie,,,,1433646678,,,0.11030595600000001,walk,4285,3272
3207402313,25090273,,,,61.083937,,3207402313,tertiary,,2,40,Vuorimiehentie,,,,25090273,,,0.7330072440000001,walk,4285,129
25090273,3207402313,,,,61.083937,,25090273,tertiary,,2,40,Vuorimiehentie,,,,3207402313,,,0.7330072440000001,walk,129,4285
25090273,301668741,,,,6.632345,,25090273,tertiary,,2,40,Vuorimiehentie,,,,301668741,,,0.07958814,walk,129,1738
301668741,25090273,,,,6.632345,,301668741,tertiary,,2,40,Vuorimiehentie,,,,25090273,,,0.07958814,walk,1738,129
301668741,301668748,,,,6.414208,,301668741,tertiary,,2,40,Vuorimiehentie,,,,301668748,,,0.07697049600000001,walk,1738,1742
301668748,301668741,,,,6.414208,,301668748,tertiary,,2,40,Vuorimiehentie,,,,301668741,,,0.07697049600000001,walk,1742,1738
301668748,301546944,,,,20.439608,,301668748,tertiary,,2,40,Vuorimiehentie,,,,301546944,,,0.245275296,walk,1742,1618
301546944,301668748,,,,20.439608,,301546944,tertiary,,2,40,Vuorimiehentie,,,,301668748,,,0.245275296,walk,1618,1742
301546944,25090279,,,,96.478862,,301546944,tertiary,,2,40,Vuorimiehentie,,,,25090279,,,1.1577463440000002,walk,1618,130
25090279,301546944,,,,96.478862,,25090279,tertiary,,2,40,Vuorimiehentie,,,,301546944,,,1.1577463440000002,walk,130,1618
25090279,301700594,,,,6.761123,,25090279,tertiary,,2,40,Vuorimiehentie,,,,301700594,,,0.08113347600000001,walk,130,1748
301700594,25090279,,,,6.761123,,301700594,tertiary,,2,40,Vuorimiehentie,,,,25090279,,,0.08113347600000001,walk,1748,130
301700594,1114070550,,,,44.247266,,301700594,tertiary,,2,40,Vuorimiehentie,,,,1114070550,,,0.5309671920000001,walk,1748,3151
1114070550,301700594,,,,44.247266,,1114070550,tertiary,,2,40,Vuorimiehentie,,,,301700594,,,0.5309671920000001,walk,3151,1748
25052820,25052822,,,,16.047536,,25052820,footway,,,,,,,,25052822,,,0.192570432,walk,107,108
25052822,25052820,,,,16.047536,,25052822,footway,,,,,,,,25052820,,,0.192570432,walk,108,107
17115179,471608879,,,,57.584197,,17115179,cycleway,,,,,,,,471608879,,,0.691010364,walk,14,2648
471608879,17115179,,,,57.584197,,471608879,cycleway,,,,,,,,17115179,,,0.691010364,walk,2648,14
471608879,25035132,,,,15.101878,,471608879,cycleway,,,,,,,,25035132,,,0.181222536,walk,2648,72
25035132,471608879,,,,15.101878,,25035132,cycleway,,,,,,,,471608879,,,0.181222536,walk,72,2648
25151324,314922382,,,,12.690826,,25151324,cycleway,,,,,,,,314922382,,,0.152289912,walk,162,2026
314922382,25151324,,,,12.690826,,314922382,cycleway,,,,,,,,25151324,,,0.152289912,walk,2026,162
314922382,25199810,,,,78.500707,,314922382,cycleway,,,,,,,,25199810,,,0.9420084840000001,walk,2026,318
25199810,314922382,,,,78.500707,,25199810,cycleway,,,,,,,,314922382,,,0.9420084840000001,walk,318,2026
25199810,301710793,,,,21.118058,,25199810,cycleway,,,,,,,,301710793,,,0.25341669600000005,walk,318,1757
301710793,25199810,,,,21.118058,,301710793,cycleway,,,,,,,,25199810,,,0.25341669600000005,walk,1757,318
273485127,25151354,,,,32.999891,,273485127,service,,,,,,,,25151354,,,0.395998692,walk,1216,167
25151354,273485127,,,,32.999891,,25151354,service,,,,,,,,273485127,,,0.395998692,walk,167,1216
25151354,938262395,,,,47.722497,,25151354,service,,,,,,,,938262395,,,0.572669964,walk,167,2959
938262395,25151354,,,,47.722497,,938262395,service,,,,,,,,25151354,,,0.572669964,walk,2959,167
938262395,25049670,,,,6.469519,,938262395,service,,,,,,,,25049670,,,0.077634228,walk,2959,99
25049670,938262395,,,,6.469519,,25049670,service,,,,,,,,938262395,,,0.077634228,walk,99,2959
25032054,273485126,,,,4.975667,,25032054,service,,,,,,,,273485126,,,0.059708004,walk,63,1215
273485126,25032054,,,,4.975667,,273485126,service,,,,,,,,25032054,,,0.059708004,walk,1215,63
273485126,1003873070,,,,20.87014,,273485126,service,,,,,,,,1003873070,,,0.25044168,walk,1215,3102
1003873070,273485126,,,,20.87014,,1003873070,service,,,,,,,,273485126,,,0.25044168,walk,3102,1215
1003873070,1891552263,,,,0.651151,,1003873070,service,,,,,,,,1891552263,,,0.007813812000000002,walk,3102,3809
1891552263,1003873070,,,,0.651151,,1891552263,service,,,,,,,,1003873070,,,0.007813812000000002,walk,3809,3102
1891552263,2375427466,,,,20.57178,,1891552263,service,,,,,,,,2375427466,,,0.24686136000000003,walk,3809,4039
2375427466,1891552263,,,,20.57178,,2375427466,service,,,,,,,,1891552263,,,0.24686136000000003,walk,4039,3809
2375427466,1891552265,,,,0.958018,,2375427466,service,,,,,,,,1891552265,,,0.011496216000000002,walk,4039,3810
1891552265,2375427466,,,,0.958018,,1891552265,service,,,,,,,,2375427466,,,0.011496216000000002,walk,3810,4039
1891552265,1003873100,,,,5.914512,,1891552265,service,,,,,,,,1003873100,,,0.070974144,walk,3810,3104
